claim_id,policy_id,vehicle_id,fleet_id,loss_date,report_date,claim_type,claim_status,paid_loss,reserve_amount,incurred_loss,litigation_flag,bodily_injury_flag,property_damage_flag,software_failure_flag,sensor_issue_flag,weather_condition,accident_severity,subrogation_recovery,claim_close_days,client_type,primary_state
CLM-000001,POL-0065,VEH-01834,FLT-0065,2025-10-25,2025-10-30,comprehensive,closed,19401.56,2871.4,22272.96,False,False,True,True,False,clear,minor,1597.42,198,mixed_mobility,GA
CLM-000002,POL-0075,VEH-01632,FLT-0075,2025-10-28,2025-11-05,bodily_injury,open,15549.68,11659.63,27209.31,False,False,True,True,False,fog,minor,5552.98,205,autonomous_taxi,NV
CLM-000003,POL-0034,VEH-01138,FLT-0034,2025-09-04,2025-09-22,property_damage,subrogation,15912.63,11955.69,27868.31,False,True,False,False,False,wind,moderate,1745.79,200,logistics,CO
CLM-000004,POL-0042,VEH-00260,FLT-0042,2025-05-16,2025-05-20,property_damage,closed,7711.22,6456.13,14167.34,True,False,True,False,False,wind,moderate,0.0,176,logistics,IL
CLM-000005,POL-0031,VEH-00023,FLT-0031,2025-04-29,2025-05-02,bodily_injury,closed,19250.2,13789.82,33040.02,False,False,True,False,False,wind,major,0.0,214,mixed_mobility,NV
CLM-000006,POL-0043,VEH-00024,FLT-0043,2025-04-27,2025-05-12,property_damage,subrogation,51225.16,7456.99,58682.14,False,True,True,True,False,rain,moderate,0.0,18,mixed_mobility,NY
CLM-000007,POL-0076,VEH-01111,FLT-0076,2025-09-10,2025-09-28,comprehensive,closed,3431.89,3749.75,7181.64,False,False,True,False,True,snow,moderate,3162.38,184,delivery,GA
CLM-000008,POL-0027,VEH-01112,FLT-0027,2025-10-09,2025-10-18,collision,closed,19913.46,7842.07,27755.54,False,False,False,False,False,fog,minor,0.0,198,logistics,IL
CLM-000009,POL-0027,VEH-01267,FLT-0027,2025-11-11,2025-11-17,property_damage,closed,28283.25,8536.0,36819.25,True,False,True,False,False,wind,minor,0.0,73,logistics,IL
CLM-000010,POL-0004,VEH-01720,FLT-0004,2025-10-28,2025-11-09,sensor_damage,open,6646.66,15414.31,22060.96,False,False,True,True,False,rain,moderate,1030.63,22,mixed_mobility,FL
CLM-000011,POL-0007,VEH-00063,FLT-0007,2025-03-13,2025-04-02,property_damage,closed,6714.2,15235.39,21949.59,False,False,False,False,False,rain,minor,2250.11,63,autonomous_taxi,TX
CLM-000012,POL-0032,VEH-01259,FLT-0032,2025-11-18,2025-11-27,property_damage,closed,36702.1,3558.32,40260.42,False,False,False,False,False,fog,moderate,0.0,25,logistics,CO
CLM-000013,POL-0001,VEH-01583,FLT-0001,2025-04-10,2025-04-20,property_damage,closed,8846.11,13496.04,22342.15,False,False,True,False,False,rain,moderate,1304.72,65,logistics,CO
CLM-000014,POL-0069,VEH-01116,FLT-0069,2025-06-15,2025-06-21,comprehensive,closed,17734.61,10279.08,28013.68,False,False,True,False,False,clear,minor,3927.14,87,mixed_mobility,NY
