fleet_id,interaction_type,business_owner,interactions,follow_ups
FLT-0001,ad_hoc_analysis,Account Management,1,0
FLT-0001,claims_review,Underwriting,1,1
FLT-0001,underwriting_review,Claims,1,0
FLT-0002,ad_hoc_analysis,Underwriting,1,0
FLT-0002,renewal_review,Risk Engineering,1,1
FLT-0002,underwriting_review,Claims,1,1
FLT-0003,ad_hoc_analysis,Underwriting,1,0
FLT-0003,claims_review,Pricing,1,0
FLT-0003,renewal_review,Claims,1,0
FLT-0003,renewal_review,Underwriting,1,1
FLT-0003,underwriting_review,Underwriting,1,1
FLT-0004,ad_hoc_analysis,Claims,1,0
FLT-0004,ad_hoc_analysis,Pricing,2,1
FLT-0004,claims_review,Account Management,1,1
FLT-0004,underwriting_review,Risk Engineering,1,0
FLT-0005,QBR,Underwriting,1,1
FLT-0005,ad_hoc_analysis,Pricing,1,1
FLT-0005,claims_review,Underwriting,1,0
FLT-0005,underwriting_review,Claims,1,0
FLT-0005,underwriting_review,Pricing,1,1
FLT-0005,underwriting_review,Risk Engineering,1,1
FLT-0006,QBR,Pricing,1,0
FLT-0006,QBR,Underwriting,1,0
FLT-0006,ad_hoc_analysis,Claims,1,0
FLT-0006,claims_review,Claims,1,0
FLT-0006,claims_review,Underwriting,1,1
FLT-0006,underwriting_review,Risk Engineering,2,1
FLT-0006,underwriting_review,Underwriting,1,0
FLT-0007,QBR,Account Management,1,0
FLT-0007,ad_hoc_analysis,Account Management,1,0
FLT-0007,ad_hoc_analysis,Claims,1,1
FLT-0007,ad_hoc_analysis,Risk Engineering,1,1
FLT-0007,ad_hoc_analysis,Underwriting,1,0
FLT-0007,claims_review,Pricing,1,0
FLT-0007,renewal_review,Pricing,1,0
FLT-0007,renewal_review,Underwriting,1,1
FLT-0007,underwriting_review,Account Management,1,1
FLT-0008,QBR,Claims,1,1
FLT-0008,QBR,Underwriting,1,0
FLT-0008,claims_review,Pricing,1,0
FLT-0008,claims_review,Risk Engineering,1,0
FLT-0008,underwriting_review,Pricing,1,0
FLT-0009,QBR,Claims,1,0
FLT-0009,ad_hoc_analysis,Account Management,1,1
FLT-0009,claims_review,Account Management,1,0
FLT-0009,claims_review,Pricing,1,1
FLT-0009,claims_review,Underwriting,2,0
FLT-0009,renewal_review,Pricing,1,0
FLT-0009,underwriting_review,Claims,1,1
FLT-0010,ad_hoc_analysis,Underwriting,1,1
FLT-0010,renewal_review,Claims,1,0
FLT-0010,underwriting_review,Pricing,1,0
FLT-0011,QBR,Pricing,1,0
FLT-0011,ad_hoc_analysis,Underwriting,2,2
FLT-0011,renewal_review,Claims,1,1
FLT-0011,underwriting_review,Claims,1,0
FLT-0012,ad_hoc_analysis,Account Management,1,0
FLT-0012,ad_hoc_analysis,Risk Engineering,1,0
FLT-0012,underwriting_review,Account Management,1,1
FLT-0013,QBR,Account Management,1,0
FLT-0013,QBR,Pricing,1,1
FLT-0013,ad_hoc_analysis,Pricing,1,0
FLT-0013,renewal_review,Account Management,1,1
FLT-0013,renewal_review,Claims,1,0
FLT-0014,QBR,Claims,1,0
FLT-0014,QBR,Pricing,1,0
FLT-0014,claims_review,Claims,2,0
FLT-0014,renewal_review,Claims,1,0
FLT-0014,renewal_review,Risk Engineering,1,0
FLT-0015,QBR,Pricing,1,1
FLT-0015,QBR,Risk Engineering,1,1
FLT-0015,ad_hoc_analysis,Claims,1,0
FLT-0015,ad_hoc_analysis,Pricing,2,0
FLT-0015,claims_review,Pricing,1,0
FLT-0015,renewal_review,Claims,1,0
