fleet_id,month,risk_score,risk_tier,anomaly_score,anomaly_flag,top_risk_driver
FLT-0001,2024-01-01,25.2,Low,0.1601,False,route_complexity
FLT-0001,2024-02-01,25.25,Low,0.1512,False,route_complexity
FLT-0001,2024-03-01,25.15,Low,0.1273,False,route_complexity
FLT-0001,2024-04-01,26.21,Low,0.1342,False,route_complexity
FLT-0001,2024-05-01,23.27,Low,0.1702,False,route_complexity
FLT-0001,2024-06-01,23.64,Low,0.1449,False,route_complexity
FLT-0001,2024-07-01,23.31,Low,0.1511,False,route_complexity
FLT-0001,2024-08-01,26.49,Low,0.136,False,route_complexity
FLT-0001,2024-09-01,25.5,Low,0.147,False,route_complexity
FLT-0001,2024-10-01,23.74,Low,0.1583,False,route_complexity
FLT-0001,2024-11-01,24.18,Low,0.1734,False,route_complexity
FLT-0001,2024-12-01,25.02,Low,0.1557,False,route_complexity
FLT-0001,2025-01-01,87.2,Critical,0.0982,False,loss_ratio
FLT-0001,2025-02-01,88.14,Critical,0.0575,False,loss_ratio
FLT-0001,2025-03-01,88.0,Critical,0.0542,False,loss_ratio
FLT-0001,2025-04-01,88.49,Critical,0.0433,False,loss_ratio
FLT-0001,2025-05-01,59.1,Medium,0.1338,False,loss_ratio
FLT-0001,2025-06-01,24.31,Low,0.1701,False,route_complexity
FLT-0001,2025-07-01,86.6,Critical,0.1065,False,loss_ratio
FLT-0001,2025-08-01,88.38,Critical,-0.0063,True,loss_ratio
FLT-0001,2025-09-01,26.15,Low,0.1448,False,route_complexity
FLT-0001,2025-10-01,91.09,Critical,-0.012,True,loss_ratio
FLT-0001,2025-11-01,23.7,Low,0.1535,False,route_complexity
FLT-0001,2025-12-01,23.85,Low,0.1573,False,route_complexity
FLT-0002,2024-01-01,30.2,Low,0.1365,False,route_complexity
FLT-0002,2024-02-01,30.36,Low,0.1029,False,route_complexity
FLT-0002,2024-03-01,30.23,Low,0.116,False,route_complexity
FLT-0002,2024-04-01,29.82,Low,0.1322,False,route_complexity
FLT-0002,2024-05-01,29.94,Low,0.1104,False,route_complexity
FLT-0002,2024-06-01,31.3,Low,0.1224,False,route_complexity
FLT-0002,2024-07-01,30.23,Low,0.138,False,route_complexity
FLT-0002,2024-08-01,28.89,Low,0.1257,False,route_complexity
FLT-0002,2024-09-01,29.63,Low,0.1315,False,route_complexity
FLT-0002,2024-10-01,28.69,Low,0.1519,False,route_complexity
FLT-0002,2024-11-01,29.58,Low,0.1188,False,route_complexity
FLT-0002,2024-12-01,29.88,Low,0.0923,False,route_complexity
FLT-0002,2025-01-01,88.43,Critical,0.0576,False,loss_ratio
FLT-0002,2025-02-01,97.28,Critical,0.0077,False,loss_ratio
FLT-0002,2025-03-01,54.17,Medium,0.0938,False,route_complexity
FLT-0002,2025-04-01,82.53,Critical,0.0436,False,loss_ratio
FLT-0002,2025-05-01,96.23,Critical,0.0406,False,loss_ratio
FLT-0002,2025-06-01,77.69,High,0.0676,False,loss_ratio
FLT-0002,2025-07-01,53.81,Medium,0.0567,False,route_complexity
FLT-0002,2025-08-01,28.38,Low,0.1055,False,route_complexity
FLT-0002,2025-09-01,72.99,High,0.0557,False,loss_ratio
FLT-0002,2025-10-01,60.69,High,0.0613,False,route_complexity
FLT-0002,2025-11-01,92.26,Critical,0.0281,False,loss_ratio
FLT-0002,2025-12-01,31.58,Low,0.1029,False,route_complexity
FLT-0003,2024-01-01,33.27,Low,0.1035,False,route_complexity
FLT-0003,2024-02-01,32.57,Low,0.1394,False,route_complexity
FLT-0003,2024-03-01,32.75,Low,0.1425,False,route_complexity
FLT-0003,2024-04-01,32.01,Low,0.1472,False,route_complexity
FLT-0003,2024-05-01,32.06,Low,0.144,False,route_complexity
FLT-0003,2024-06-01,33.53,Low,0.1235,False,route_complexity
FLT-0003,2024-07-01,33.46,Low,0.0884,False,route_complexity
FLT-0003,2024-08-01,32.25,Low,0.1206,False,route_complexity
FLT-0003,2024-09-01,33.86,Low,0.0922,False,route_complexity
FLT-0003,2024-10-01,32.5,Low,0.1293,False,route_complexity
FLT-0003,2024-11-01,33.54,Low,0.0746,False,route_complexity
FLT-0003,2024-12-01,32.64,Low,0.1254,False,route_complexity
FLT-0003,2025-01-01,89.23,Critical,0.1004,False,loss_ratio
FLT-0003,2025-02-01,98.03,Critical,-0.0452,True,loss_ratio
FLT-0003,2025-03-01,95.6,Critical,0.0368,False,loss_ratio
FLT-0003,2025-04-01,96.48,Critical,-0.0167,True,loss_ratio
FLT-0003,2025-05-01,98.71,Critical,-0.0305,True,loss_ratio
FLT-0003,2025-06-01,94.45,Critical,0.1088,False,loss_ratio
FLT-0003,2025-07-01,96.99,Critical,0.0365,False,loss_ratio
FLT-0003,2025-08-01,95.76,Critical,0.063,False,loss_ratio
FLT-0003,2025-09-01,97.05,Critical,0.0079,False,loss_ratio
FLT-0003,2025-10-01,82.32,Critical,0.0814,False,loss_ratio
FLT-0003,2025-11-01,32.41,Low,0.127,False,route_complexity
FLT-0003,2025-12-01,32.89,Low,0.1303,False,route_complexity
FLT-0004,2024-01-01,29.98,Low,0.164,False,maintenance_gap
FLT-0004,2024-02-01,30.38,Low,0.1492,False,maintenance_gap
FLT-0004,2024-03-01,30.3,Low,0.1687,False,route_complexity
FLT-0004,2024-04-01,29.12,Low,0.1673,False,maintenance_gap
FLT-0004,2024-05-01,29.77,Low,0.1484,False,maintenance_gap
FLT-0004,2024-06-01,29.7,Low,0.1565,False,maintenance_gap
FLT-0004,2024-07-01,29.76,Low,0.1444,False,maintenance_gap
FLT-0004,2024-08-01,30.08,Low,0.1611,False,maintenance_gap
FLT-0004,2024-09-01,29.44,Low,0.1622,False,maintenance_gap
FLT-0004,2024-10-01,29.23,Low,0.1598,False,maintenance_gap
FLT-0004,2024-11-01,29.5,Low,0.1511,False,maintenance_gap
FLT-0004,2024-12-01,30.13,Low,0.1585,False,maintenance_gap
FLT-0004,2025-01-01,92.9,Critical,0.0114,False,loss_ratio
FLT-0004,2025-02-01,93.64,Critical,0.0449,False,loss_ratio
FLT-0004,2025-03-01,96.44,Critical,0.0008,False,loss_ratio
FLT-0004,2025-04-01,93.88,Critical,0.0528,False,loss_ratio
FLT-0004,2025-05-01,91.3,Critical,0.1063,False,loss_ratio
FLT-0004,2025-06-01,93.01,Critical,0.0569,False,loss_ratio
FLT-0004,2025-07-01,91.24,Critical,0.1063,False,loss_ratio
FLT-0004,2025-08-01,94.45,Critical,0.0364,False,loss_ratio
FLT-0004,2025-09-01,93.4,Critical,0.0429,False,loss_ratio
FLT-0004,2025-10-01,90.91,Critical,0.1284,False,loss_ratio
FLT-0004,2025-11-01,91.87,Critical,0.0545,False,loss_ratio
FLT-0004,2025-12-01,29.47,Low,0.1485,False,maintenance_gap
FLT-0005,2024-01-01,26.23,Low,0.1589,False,route_complexity
FLT-0005,2024-02-01,26.77,Low,0.1191,False,route_complexity
FLT-0005,2024-03-01,26.95,Low,0.1532,False,route_complexity
FLT-0005,2024-04-01,26.29,Low,0.1258,False,route_complexity
FLT-0005,2024-05-01,26.14,Low,0.1535,False,route_complexity
FLT-0005,2024-06-01,26.98,Low,0.122,False,route_complexity
FLT-0005,2024-07-01,26.62,Low,0.1357,False,route_complexity
FLT-0005,2024-08-01,27.43,Low,0.0922,False,route_complexity
FLT-0005,2024-09-01,26.09,Low,0.1496,False,route_complexity
FLT-0005,2024-10-01,26.71,Low,0.1341,False,route_complexity
FLT-0005,2024-11-01,26.26,Low,0.149,False,route_complexity
FLT-0005,2024-12-01,26.66,Low,0.1564,False,route_complexity
FLT-0005,2025-01-01,87.11,Critical,0.0742,False,loss_ratio
FLT-0005,2025-02-01,68.53,High,0.1291,False,loss_ratio
FLT-0005,2025-03-01,62.86,High,0.094,False,loss_ratio
FLT-0005,2025-04-01,26.52,Low,0.1372,False,route_complexity
FLT-0005,2025-05-01,65.53,High,0.112,False,loss_ratio
FLT-0005,2025-06-01,88.05,Critical,0.0752,False,loss_ratio
FLT-0005,2025-07-01,56.47,Medium,0.1269,False,loss_ratio
FLT-0005,2025-08-01,27.5,Low,0.1106,False,route_complexity
FLT-0005,2025-09-01,80.12,Critical,0.0999,False,loss_ratio
FLT-0005,2025-10-01,90.14,Critical,0.1056,False,loss_ratio
FLT-0005,2025-11-01,47.73,Medium,0.1034,False,route_complexity
FLT-0005,2025-12-01,28.89,Low,0.0998,False,route_complexity
FLT-0006,2024-01-01,20.06,Low,0.131,False,route_complexity
FLT-0006,2024-02-01,18.52,Low,0.0694,False,route_complexity
FLT-0006,2024-03-01,18.8,Low,0.0771,False,route_complexity
FLT-0006,2024-04-01,19.22,Low,0.1039,False,route_complexity
FLT-0006,2024-05-01,19.98,Low,0.1053,False,route_complexity
FLT-0006,2024-06-01,20.36,Low,0.1145,False,route_complexity
FLT-0006,2024-07-01,19.08,Low,0.0567,False,route_complexity
FLT-0006,2024-08-01,20.83,Low,0.1332,False,route_complexity
FLT-0006,2024-09-01,19.9,Low,0.1161,False,route_complexity
FLT-0006,2024-10-01,19.53,Low,0.0675,False,route_complexity
FLT-0006,2024-11-01,19.86,Low,0.1168,False,route_complexity
FLT-0006,2024-12-01,19.65,Low,0.1031,False,route_complexity
FLT-0006,2025-01-01,70.01,High,0.0875,False,loss_ratio
FLT-0006,2025-02-01,62.75,High,0.0918,False,loss_ratio
FLT-0006,2025-03-01,42.37,Medium,0.0949,False,route_complexity
FLT-0006,2025-04-01,85.45,Critical,0.0169,False,loss_ratio
FLT-0006,2025-05-01,68.7,High,0.0603,False,loss_ratio
FLT-0006,2025-06-01,46.39,Medium,0.097,False,loss_ratio
FLT-0006,2025-07-01,37.36,Medium,0.098,False,route_complexity
FLT-0006,2025-08-01,84.67,Critical,0.0171,False,loss_ratio
FLT-0006,2025-09-01,51.52,Medium,0.0437,False,loss_ratio
