vehicle_id,fleet_id,make,model,model_year,autonomy_level,sensor_vendor,software_version,lidar_enabled,camera_enabled,radar_enabled,vehicle_utilization_rate,last_maintenance_date,maintenance_score
VEH-00001,FLT-0008,Vector,LX,2024,1,Northstar Sensors,2.1.14,False,True,False,0.654,2025-09-09,45.72
VEH-00002,FLT-0055,MetroMotion,LX,2020,5,Metro Lidar,4.6.9,True,True,True,0.857,2025-11-28,67.96
VEH-00003,FLT-0020,MetroMotion,FleetPro,2025,5,Synthetic Vision,6.9.1,True,True,True,0.476,2025-10-24,91.07
VEH-00004,FLT-0010,Nova,Urban,2022,4,ClearPath Systems,5.3.16,False,True,True,0.496,2025-12-13,69.26
VEH-00005,FLT-0057,Helio,Sense,2024,0,Synthetic Vision,3.7.16,False,True,True,0.339,2025-11-01,58.36
VEH-00006,FLT-0054,Aster,LX,2024,0,Synthetic Vision,2.9.5,False,False,True,0.665,2025-12-26,65.46
VEH-00007,FLT-0046,Aster,Auton,2021,5,Synthetic Vision,2.6.3,False,True,True,0.672,2025-11-09,95.29
VEH-00008,FLT-0028,Vector,Auton,2020,1,Northstar Sensors,2.5.3,False,True,True,0.43,2025-11-16,51.61
VEH-00009,FLT-0015,MetroMotion,Urban,2024,3,Synthetic Vision,4.7.15,True,True,True,0.948,2025-09-18,71.62
VEH-00010,FLT-0074,Vector,LX,2019,2,Metro Lidar,3.5.8,False,True,True,0.317,2025-10-16,90.99
VEH-00011,FLT-0053,Aster,Sense,2022,4,Northstar Sensors,3.9.5,True,True,True,0.86,2025-11-25,67.64
VEH-00012,FLT-0020,Nova,FleetPro,2025,4,Synthetic Vision,5.8.12,True,True,True,0.777,2025-10-21,67.88
VEH-00013,FLT-0043,Vector,FleetPro,2022,5,Northstar Sensors,5.9.13,True,True,True,0.321,2025-07-28,91.85
VEH-00014,FLT-0035,MetroMotion,LX,2020,2,Metro Lidar,6.3.16,False,True,True,0.88,2025-08-23,81.02
VEH-00015,FLT-0051,Nova,Sense,2022,1,Synthetic Vision,3.4.0,False,True,True,0.582,2025-09-12,67.41
VEH-00016,FLT-0028,Nova,Urban,2024,1,Northstar Sensors,3.1.6,False,True,False,0.928,2025-08-29,50.66
VEH-00017,FLT-0016,MetroMotion,Sense,2023,2,Metro Lidar,3.2.9,False,True,True,0.382,2025-11-21,87.64
